Metric Name|Base Unit|Description
controller.invocations||
controller.invocations.contentLength||
controller.invocations.contentLength.summary||
fiat.enabled||
fiat.getPermission||
fiat.legacyFallback.enabled||
fiat.permissionsCache.evictions||
fiat.permissionsCache.evictions-weight||
fiat.permissionsCache.hits||
fiat.permissionsCache.loads|milliseconds|
fiat.permissionsCache.loads-failure||
fiat.permissionsCache.loads-success||
fiat.permissionsCache.misses||
http.server.requests|milliseconds|
jvm.buffer.count|buffers|An estimate of the number of buffers in the pool
jvm.buffer.memory.used|bytes|An estimate of the memory that the Java virtual machine is using for this buffer pool
jvm.classes.loaded|classes|The number of classes that are currently loaded in the Java virtual machine
jvm.classes.unloaded|classes|The total number of classes unloaded since the Java virtual machine has started execution
jvm.gc.allocationRate||
jvm.gc.live.data.size|bytes|Size of old generation memory pool after a full GC
jvm.gc.liveDataSize||
jvm.gc.max.data.size|bytes|Max size of old generation memory pool
jvm.gc.maxDataSize||
jvm.gc.memory.allocated|bytes|Incremented for an increase in the size of the young generation memory pool after one GC to before the next
jvm.gc.pause|milliseconds|Time spent in GC pause
jvm.gc.promotionRate||
jvm.memory.committed|bytes|The amount of memory in bytes that is committed for the Java virtual machine to use
jvm.memory.max|bytes|The maximum amount of memory in bytes that can be used for memory management
jvm.memory.used|bytes|The amount of used memory
jvm.threads.daemon|threads|The current number of live daemon threads
jvm.threads.live|threads|The current number of live threads including both daemon and non-daemon threads
jvm.threads.peak|threads|The peak live thread count since the Java virtual machine started or peak was reset
jvm.threads.states|threads|The current number of threads having NEW state
logback.events|events|
okhttp.requests|milliseconds|
pollingMonitor.docker.retrieveImagesByAccount|milliseconds|
pollingMonitor.jenkins.retrieveProjects|milliseconds|
pollingMonitor.pollTiming|milliseconds|
process.cpu.usage||The recent cpu usage for the Java Virtual Machine process
process.files.max|files|The maximum file descriptor count
process.files.open|files|The open file descriptor count
process.start.time|milliseconds|Start time of the process since unix epoch.
process.uptime|milliseconds|The uptime of the Java virtual machine
resilience4j.circuitbreaker.buffered.calls||The number of buffered failed calls stored in the ring buffer
resilience4j.circuitbreaker.calls||Total number of not permitted calls
resilience4j.circuitbreaker.failure.rate||The failure rate of the circuit breaker
resilience4j.circuitbreaker.slow.call.rate||The slow call of the circuit breaker
resilience4j.circuitbreaker.state||The states of the circuit breaker
system.cpu.count||The number of processors available to the Java virtual machine
system.cpu.usage||The recent cpu usage for the whole system
system.load.average.1m||The sum of the number of runnable entities queued to available processors and the number of runnable entities running on the available processors averaged over a period of time
tomcat.sessions.active.current|sessions|
tomcat.sessions.alive.max|milliseconds|
tomcat.sessions.created|sessions|
tomcat.sessions.expired|sessions|
tomcat.sessions.rejected|sessions|
